pair,metric,value
residual__mhc,KL(residual||mhc)_nats,0.333345
residual__mhc,KL(mhc||residual)_nats,0.322509
residual__mhc,JS_nats,0.069059
residual__mhc,TV,0.252824
residual__mhc,top1_agreement,0.736478
residual__mhc_lite,KL(residual||mhc_lite)_nats,0.327065
residual__mhc_lite,KL(mhc_lite||residual)_nats,0.314810
residual__mhc_lite,JS_nats,0.067857
residual__mhc_lite,TV,0.249445
residual__mhc_lite,top1_agreement,0.738241
mhc__mhc_lite,KL(mhc||mhc_lite)_nats,0.243834
mhc__mhc_lite,KL(mhc_lite||mhc)_nats,0.242134
mhc__mhc_lite,JS_nats,0.052942
mhc__mhc_lite,TV,0.217178
mhc__mhc_lite,top1_agreement,0.776282
residual,mean_entropy_nats,3.784061
mhc,mean_entropy_nats,3.719609
mhc_lite,mean_entropy_nats,3.677378
