iter,lr,train_mse,held_mse,l0,dead_pct,explained_variance
1,0.0,0.48993855714797974,0.5710992813110352,64.0,0.0,-199980.6438061894
100,0.0002475,0.14179551601409912,0.15200267732143402,64.0,0.0,-53225.72455036653
200,0.0004975,0.0709308311343193,0.06905870884656906,64.0,0.0,-24181.264989621417
300,0.0005,0.05380525067448616,0.049555759876966476,64.0,0.0,-17351.923988545153
400,0.0005,0.04744851216673851,0.04255783185362816,64.0,0.0,-14901.461363561935
500,0.0005,0.04374957084655762,0.03856455534696579,64.0,0.0,-13503.1380103099
600,0.0005,0.04107046127319336,0.03579927235841751,64.0,0.0,-12534.81974485838
700,0.0005,0.039499640464782715,0.03382186219096184,64.0,0.0,-11842.390028556994
800,0.0005,0.03773444518446922,0.03222471475601196,64.0,0.0,-11283.117111077558
900,0.0005,0.03671829029917717,0.031043970957398415,64.0,0.0,-10869.657026535991
1000,0.0005,0.03526962548494339,0.030016474425792694,64.0,0.0,-10509.858560842207
1100,0.000499229718424189,0.034914251416921616,0.029249724000692368,64.0,0.0005859375232830644,-10241.365806824258
1200,0.0004969236203664039,0.034109968692064285,0.02851010672748089,64.0,0.0003906250058207661,-9982.374482363482
1300,0.0004930959165854125,0.0335799939930439,0.027957094833254814,64.0,0.0003906250058207661,-9788.7262175881
1400,0.0004877701943588159,0.03278541937470436,0.027447404339909554,64.0,0.00048828125,-9610.248266605415
1500,0.0004809792721322863,0.032529719173908234,0.026927001774311066,64.0,0.0011718750465661287,-9428.018986407607
1600,0.0004727649972840147,0.03165220841765404,0.026495657861232758,64.0,0.005566406529396772,-9276.97583620945
1700,0.00046317798825059524,0.03146037086844444,0.026125580072402954,64.0,0.01728515699505806,-9147.385706823577
1800,0.0004522773226034326,0.031216347590088844,0.02579287439584732,64.0,0.02792968787252903,-9030.88248437141
1900,0.0004401301729978233,0.030780380591750145,0.025473376736044884,64.0,0.03769531473517418,-8919.003450552927
2000,0.00042681139323808617,0.030373746529221535,0.025145208463072777,64.0,0.04814453050494194,-8804.08949906952
2100,0.00041240305700951065,0.03042428195476532,0.024870118126273155,64.0,0.05712890625,-8707.761212384828
2200,0.00039699395211957654,0.03004573844373226,0.02460743673145771,64.0,0.06494140625,-8615.777559946095
2300,0.0003806790333650556,0.02967209182679653,0.024325121194124222,64.0,0.07500000298023224,-8516.919605269712
2400,0.0003635588373965674,0.029492175206542015,0.024118080735206604,64.0,0.08378906548023224,-8444.42012423979
2500,0.0003457388631863424,0.02940809540450573,0.023885618895292282,64.0,0.09062500298023224,-8363.019357934605
2600,0.00032732892191690506,0.028850680217146873,0.023671234026551247,64.0,0.09785156697034836,-8287.948318500152
2700,0.0003084424602968283,0.02843225561082363,0.0235439445823431,64.0,0.10517578572034836,-8243.375209425838
2800,0.0002891958614734579,0.029022250324487686,0.023355886340141296,64.0,0.11181640625,-8177.522625535293
2900,0.00026970772785055896,0.028294390067458153,0.023210760205984116,64.0,0.11865234375,-8126.704425322312
3000,0.0002500981502303451,0.02843307889997959,0.023029275238513947,64.0,0.12246093899011612,-8063.153249418802
3100,0.00023048796778361838,0.02818463183939457,0.022878944873809814,64.0,0.12900391221046448,-8010.512388794098
3200,0.00021099802340827494,0.02796807326376438,0.022782452404499054,64.0,0.13369141519069672,-7976.723923760072
3300,0.00019174841906484212,0.027701571583747864,0.022663382813334465,64.0,0.14121094346046448,-7935.029284482322
3400,0.000172857775677859,0.02792632393538952,0.022547025233507156,64.0,0.14628906548023224,-7894.284446197736
3500,0.00015444250216377537,0.02797975018620491,0.022424018010497093,64.0,0.15146484971046448,-7851.210842921811
3600,0.00013661607808980247,0.02732730284333229,0.02233421616256237,64.0,0.15703125298023224,-7819.764821381275
3700,0.00011948835438415473,0.027512481436133385,0.022250913083553314,64.0,0.16025391221046448,-7790.59456063624
3800,0.00010316487640688024,0.027427110821008682,0.022179335355758667,64.0,0.16367188096046448,-7765.530415255889
3900,8.774623355269163e-05,0.02686585858464241,0.02211938425898552,64.0,0.16855469346046448,-7744.53733407846
4000,7.332743939370554e-05,0.02737361192703247,0.02206079475581646,64.0,0.17431640625,-7724.021290663573
4100,5.999734618181052e-05,0.027491552755236626,0.02200734242796898,64.0,0.17646484076976776,-7705.303970281644
4200,4.7838097318646385e-05,0.027509180828928947,0.02195633016526699,64.0,0.17998047173023224,-7687.440701377816
4300,3.692462116721321e-05,0.027105150744318962,0.02191338874399662,64.0,0.181640625,-7672.4037529810985
4400,2.7324169324370844e-05,0.02676544152200222,0.021883303299546242,64.0,0.18505859375,-7661.868741605082
4500,1.9095902199511435e-05,0.026880139485001564,0.021856537088751793,64.0,0.18740235269069672,-7652.496402911966
4600,1.2290524453171998e-05,0.02713504247367382,0.02183915302157402,64.0,0.1904296875,-7646.408614548043
4700,6.949972542108024e-06,0.027027582749724388,0.02182152308523655,64.0,0.19267578423023224,-7640.235335545673
4800,3.107156296253577e-06,0.026681531220674515,0.02181338146328926,64.0,0.19462890923023224,-7637.384222753412
4900,7.85756120035952e-07,0.027349671348929405,0.0218077190220356,64.0,0.19648437201976776,-7635.40169484779
5000,7.706774174387477e-11,0.02677224390208721,0.02180691622197628,64.0,0.19716797769069672,-7635.120430647295
