layer,mean_r2_linear_off_diag,mean_r2_mlp_off_diag,min_r2_linear_off_diag,min_r2_mlp_off_diag
0,0.686811,0.137834,0.356203,-0.631828
1,0.811712,0.111181,0.559865,-0.534163
2,0.862267,-0.430852,0.650884,-4.899581
3,0.880090,-0.522544,0.676558,-4.587373
4,0.860369,-0.303165,0.627483,-4.006174
5,0.858362,-0.218635,0.640121,-3.522485
6,0.809452,-0.154496,0.517456,-2.883497
7,0.802460,-0.091389,0.582137,-2.159959
8,0.792296,0.034987,0.601869,-0.811683
9,0.773844,0.109034,0.627501,-0.376885
10,0.752476,0.127088,0.577255,-0.211022
11,0.778356,0.174397,0.628385,-0.020344
12,0.795278,0.192835,0.656639,-0.008015
13,0.811600,0.211945,0.696087,0.031767
14,0.820665,0.233743,0.715874,0.066001
15,0.833884,0.243347,0.740457,0.083435
16,0.840811,0.251160,0.752096,0.093459
17,0.858093,0.287902,0.775955,0.155823
18,0.867946,0.322514,0.786976,0.202076
19,0.878818,0.347057,0.805286,0.232604
20,0.901865,0.433817,0.808020,0.209851
21,0.905609,0.437140,0.816621,0.229030
22,0.909969,0.449835,0.826486,0.229705
23,0.913827,0.456209,0.826184,0.099835
24,0.917372,0.463808,0.836088,0.104215
25,0.917311,0.447422,0.836454,0.104780
26,0.917732,0.433241,0.837932,0.084903
27,0.918766,0.432195,0.836842,0.082228
28,0.919261,0.437295,0.838182,0.082404
29,0.919788,0.439564,0.838314,0.093413
30,0.923096,0.451184,0.837149,0.080724
31,0.922905,0.444971,0.835693,0.086335
32,0.922932,0.413940,0.835752,0.101782
33,0.925991,0.413333,0.849978,0.101755
34,0.925817,0.399447,0.850046,0.078675
35,0.933405,0.415557,0.860724,0.127397
